reviewDescription,ratingScore
someone good software experience is cannot afford buy battery improved camera good look good feel good thanks amazon,3
red colour attractive redheart redheart,3
camera display battery connectivity issue faced one plus nord samsung gallrounder  never seen recommended everyone expensive,3
justified cost,2
worth wait price  better version price point nothing much changed check buy make good decision,1
biometrics many ui flaw expensive k rangebetter wait new version price drop version substantially,1
everything  best heartsuit great battery battery great camera camerawithflash great design heartsuit,3
 amazing feature know people hate deserves liked  even cinematic mode perfect people make movie,3
product red colour look awesome sound quality great camera quality excellent love mobile,3
great  plus amazing upgrade wish would bought pro version instead miss feature ,3
liked product design color camera better well,3
awesome battery life i always lack undoubtedly super camera,3
switched oneplus pro one really handy really smooth happy customer,3
expensive,3
 nice delivery late,3
bahar ka  h diya hame ab iska lock nahi open ho raha thumbsdown thumbsdown thumbsdown thumbsdown,1
decent battery life,3
dislike product touch work properly wasted k,1
heating charging used minute,1
charger provided booklet expecting package rest okaytimely delivered nice packing,2
got  mainly camera disappointing even paying top dollar cannot get benefit good camera i take close photo cannot zoom detail also network connectivity poor whenever traveling town  unable use mobile data even town network poor apple jio best even though assumed expect applecinematic mode good unable focus subject properly lot timesear speaker malfunctioning right one year use,2
look perfectly elegant bought red one amazon republic day sale price point great deal,2
mobile good comfortable best chargingand photo best build coulity bestbattery backup good hande feel good,3
long time android user bought i replacement android mid range also shoot youtube video think i offer better value k vlogging cam absolutely love camera battery backup build qualityjust word unlike android worry extended zoom g callsvery reliable definitely apple got another long time i customer,3
perfect  feature security guranteed price matter bos working like butter OKhand,3
nice product sturdy best security le data visible le ad nice product loved recommended afterall i,3
brand wise good  though expensive better much use looking safety quality brand,3
made mistake going hype buying iits useless piece trash k functionality whatsoever piece showoffnothing else also put ad olxrather go samsung series,1
purchased refurbished i good condition screen dark blurry aftermarket product far original battery know good quality poor price might better buying yahoo auction mercari recommend purchasing,1
able purchase cheaply battery level unexpectedly low disappointing,2
better expected,2
opened i finished initial setup various thing charge even unplugged respond one charge charge putting respond must dust stuck connector hmm got bad luck,1
initialized return problem went beyond quality,1
product arrived  rang onemonth return period passed use  regular basis tried voice memo function record broken even though used item even check terrible even though paid yen ill never use,1
understand refurbished product battery mean box say new possible exchange one least battery thought since supposed refurbished,1
liked product opened box noticed strange smell resembled perfume instruction manual plastic wrapped  etc smelled like kind perfume woman use refurbished product right,2
arrived without box main unit quick charger set pin exterior brand new scratch able change model without problem operation everyone written guess problem remaining battery power still use normally feel like ill replace battery soon,2
thought typec would better chose one price color matter long put cover mind appearance recommend,3
battery capacity,2
bought gift graduating high school getting accepted college putting i happy image quality response speed good enough hand think spec better would much,3
although said certified product noticeable scratch dent disappointed bought wife felt bad,1
good,3
good condition two month since purchased working without problem thank much,3
although appearance good condition one received scratched area around switch micro covered sebum dust hoping nearly scratchfree clean product disappointed,2
product received color peeling near camera dirt gap body screen think ranked good scratched think fine aware,2
purchasing concerned remaining battery life scratch trusted seller rating good received actual product satisfied remaining battery life model product also pretty good condition really satisfied however item received main unit set charging product made company without apple box,3
product received full scratch dent crack top scratch screen good,1
exterior shiny battery worn sure hit miss,2
noticeable scratch battery operation normal month warranty price good enough condition,3
battery life came  super low charged  got reaaaallllyyyyy hot went apple store get new battery rest fine,2
except scratch good mobile ,2
beautiful item without scratch although outer box came necessary accessory sim pin charging cord however battery enough considering price gave star satisfied,2
bought relative know sure seems good condition working fine happy,3
device good condition could called new carefully packaged new thirdparty lightning cable outlet included purchasing asked usability performance price applecare price apple store decided refurbished product yen cheaper since upgrading easy place two is next transfer data necessary setting also considering android think good continue i also cheap smart insurance plan get soon glad bought refurbished product,3
bought good condition shame battery,1
condition good expectation disappointing two noticeable spot paint peeling frame battery since refurbished item prepared hit miss disappointing,1
received day however suddenly restarted using wanted return exchange know decided write,2
bought worried whether would arrive properly whether battery capacity would okay arrived without problem battery capacity satisfied facewithtearsofjoy bought cheaply without scratch id like use really grateful smilingfacewithsmilingeyes,3
happy almost like new,3
bought best price used apple use without problem battery good replace battery problem,3
bought good condition battery start scratch side,1
noticeable scratch  clean however battery exactly battery life little poor product description said battery never thought would close replace battery felt bought different color thousand yen,2
battery health amazing love affordable satisfied decision order amazon love scratch nothing everything perfect delivered safelythank hearthandslightskintone,2
bought cheapest one specification charged,2
bought son high school read review prepared scratch item received great condition without single scratch battery performance also good might okay buy secondhand one,2
thing bothered tool remove sim card reason something looked like ipad instruction manual inside battery able use satisfactorily,2
battery capacity look good sign use bought yen anyone considering buying future thinking returning feeling hmm trust performance battery use year spent yen used previous i half year transition i i exciting think better decide based color well color hidden i case though tee hee,2
child going high school using cheap android  bought one wanted i went high school battery capacity normal actually wanted black one seller black one star rating looked chose blue one seller star rating chose one scratch satisfied even though used,3
thank seller gacha,3
battery sad good condition,2
bought good product scratch frame mm size however really care scratch problem lcd clean camera frame scratch glass clean,2
screen lens frame scratched battery looking review wondering hit miss exactly refurbished expecting outer layer battery replaced,2
first time using refurbished product small scratch near lens frame rest clean frame really bother battery bit strange feeling knew bought nothing special,2
thought good thought might bit battery left scratch main unit satisfied able change  model without problem also came charger ill using ill give star,2
rank good value money,2
would liked come luck,2
good condition would believe secondhand battery happy,3
reluctant buy gacha element decided go ahead buy battery appearance almost unused since good also came external adapter cable capable fast charging though received bad good product think check condition good meet condition return,2
dissapointed,1
previous  good looking advanced  glad found one,2
main unit clean noticeable scratch battery read people review little disappointed,2
price cheap since refurbished product battery ran quickly,3
good condition full scratch,1
worried buying used one chose one working fine,2
purchased product good condition maximum battery capacity arrived please note unlike genuine apple refurbished product battery may replaced condition good,2
se started acting strangely bought new one prepared trouble bought refurbished clean scratchfree like new little disappointed battery capacity still worth yen cheaper new one even battery replace still cheaper new one glad bought look like last long time,3
like new condition battery midnight color pretty cool,3
bit worried review seem vary quality time big hit battery well device intact came charging cable good new setup went smoothly thank much,3
like beautiful solid state battery,3
bought good version scratch body camera battery happy camera broken tried every possible solution including updating restarting autofocus work could focus looked nice satisfied disappointing,1
i plain green gb outer box carefully packaged felt ease device good condition scratch would like use service next time,3
package i box bubblewrapped color ordered model correct negative point,2
happy nice smart inserting sim could make call contact seller amazon product manufacturer mobile carrier amazon improvement return  took half day good experience risk buying used item,1
normal beautiful smart relieved able use without problem,3
scratch noticeable able use without problem,2
good purchase needed,2
battery capacity right exterior looked almost like new,2
expected packaging bit rough rather simple excitement opening apple product steve job particular recycled cannot helped taken account score appearance acceptable scratch little dirty giving minus even though refurbished think probably problem previous model used probably individual difference also battery although good greedy comment little hopeful giving minus deliberately put subjective evaluation well much good news price people high expectation people accept nobrainer first refurbished product little high expectation please take reference,2
noticeable scratch side description mention say sign use thought scratch size mentioned,1
thank much,2
screen many small scratch back many small stain come even wipe hard mind scratch side wonder standard saying good,1
arrived today packaging contained cushioning material much i moving around maximum capacity people said really true exterior scratched peeled kind dirt stuck side body said refurbished goodim really sure could gotten evaluation yen cheap purchase dissatisfied regret buying secondhand physical store,1
smart bought came appears softbank sim card get signal though throw away,2
little worried first time buying used item relieved find clean good quality also happy price within budget,2
received piece junk battery left think buy bought far refurbished one junk recommend avoid refurbished item amazon,1
scratch back battery listened carefully noticed distortion satisfied id like return get refund send email nikosuma,1
arrived quickly light scratch around side otherwise almost perfect charged work great look like last another year,2
honest nervous bought like new much cheaper company satisfied purchase thank,3
appearance beautiful disappointed battery particular problem operation,1
charged even though bought repaired item cannot help least angersymbol weird,1
box charger rubbish damage battery maxed,3
beautiful nice,3
bought expensive box original i screen sticker protect scratch charging cable different color deceived,1
review said battery capacity one received also several scratch volume button honest get pay would better buying genuine new one even yen expensive understand return exchange possible wonder could least exchange,1
best product ever ordering amazon,3
battery already capacitythere small scratch discoloration sideno boxi bought yen cheaper buying apple considering battery replacement thought would better buy new one problem future may return,1
highquality item clean could believe secondhand like new wellmaintained use without problem great purchase,3
scratch outside great condition battery capacity satisfied,3
used use basio decided switch i operation different surprisingly easy tried,3
battery maximum capacity,1
arrived next day ordered packaging simple worked without problem also came new charging cable although different company also came migration guide sim removal pin felt ease able migrate without problem thank,3
said new cardboard box maximum battery capacity day arrived possible exchange looking forward shocked,1
packaging cheap content brand new i scratch battery performance within acceptable range new i expensive think ill stick used is,3
normally,3
bad battery,1
battery run quickly useless however seems  cannot returned exchanged threw away yen,1
bought beginning december even fully charged battery le warranty say sent inquiry response know honest sad angry,1
arrived seller kosumasan site deal used refurbished product c rank think probably selling least product arrived glass undamaged main body small scratch look closely think amazon good condition however far everyone expects better expected battery concerned advertised honest broken state think everyone would dissatisfied really good condition percentage satisfactory review said think psychological line average rating star overall including condition main body star everyone would give star without complaint however delivery fast transaction made without problem gave star overall,2
battery level brand new,3
expected amazon look like new satisfied,3
fooled word refurbished see attached image battery terrible condition full battery life poor would much expensive buy new one replace battery main unit cannot recommend anyone want work,1
tried replacing sim card existing i product tried time work please note even replace able use mobile data make call,1
exterior good condition noticeable scratch problem packaging however battery capacity limit lower expected original box adapter cable thirdparty product converted microb course highspeed charging possible,1
bought two supposed simfree refurbished amazon one defective contacted amazon said product made asked refurbished said product made amazon refurbished product wondering,1
bought good item unfortunately two dent scratch frame cigarette tar smell battery,1
bought simfree product surprise simlocked furthermore serial number device seem japanese one contacted apple support told completely stuck return,1
i simfree simlocked scam something returning,1
thought bought something good condition even looked cm away could see many scratch wonder kind inspection also dust dirt place really serviced looked later found several similar low review,1
particular issue appearance operation outer box accessory also good condition look like new satisfied,3
ordered starlight received midnight barcode sticker say white think put barcode sticker wrong one disappointed something ill use long time expensive,1
switching i se expected feel like buying ise already  case like fingerprint authentication good chance replace however got tired using almost year decided replace latest feel worth price difference fact using screen right size battery last decent amount feel inconvenience fingerprint authentication think good still think is expensive know ise released think wise decision,2
bought child could find anywhere worried buying  online relieved arrived safely box well packed surprised even came charger included clean noticeable scratch battery life good happy pretty expensive purchase child happy,3
problem refurbished product appearance especially battery first place user consider replacing battery around one want buy one battery lifespan i considered within range arrives cannot said refurbished even buying reselling used is except new one maximum charge therefore way distinguish bad good dealer mostly determined scratch exterior battery capacity incidentally usage time around hour time maximum load usage time around hour maximum charging time generally recommended replacing usage time hour usage time hour last half day likely cause stress debating bought right decision price come quite bit thought might difference performance exactly difference whether number core one one le almost difference term operation probably darker lighter color variation seem like upgrade operation sluggish feel like scrolling screen movement slide xsmax smooth scrolling screen movement bit disappointing,1
noticeable scratch stain  battery super disappointed,1
battery low good mean want give even one star,1
came sim pin charger cable sure genuine single scratch battery happy,3
written good condition bought without doubt surprised received screen floating like push back definitely usable glad noticed right away returned immediately glad accidentally turn cannot believe inspected sent want give even one star choice could move forward without pressing,1
scratch good satisfied,3
bit worried arrived good condition battery would like use opportunity,3
item arrived good condition happy,3
good condition really like ill take good care,3
i good condition maximum capacity battery new normal refurbished product,1
arrived today glass broken many scratch purchase excited even though cost yen guess used item like decided trade ill send good condition recommend people plan using long time ill definitely buy apple next time,1
sad battery,1
like new charging cable brand new case happy,3
take time get used purchasing switching android smart,2
first time purchasing refurbished product many store selling much deliberation reading review researched researched company information finally decided make purchase company beautiful i like new battery satisfied purchase thank much would like buy company next time need replace  would recommend anyone considering purchasing one thank much,3
upgraded se nd generation purchased good condition scratch naked eye distance cm screen yellowed looked quite clean battery exactly condition refurbished product think reasonable considering price sale yen point increased felt like good deal two week since started using like old model particular bug camera work without problem impressed night mode feel image quality sound quality battery life much better se nd generation satisfied way using accessory already used one included maybe need,3
best value money,3
nice appearance however put sim communication unstable could use went aeon mobile store thinking sim might bad fine contacted apple said i defective cannot return sad expensive currently contacting want least exchange ill write happened,1
satisfied i received battery scratch think fine buying secondhand product plan continue using service future,3
someone showed battery life mine id need replace battery right away cry sticker cardboard box said good condition please tell good,1
battery surprisingly worn normal,1
scratch shown picture detail still work fine using,2
battery status device least would called refurbished excellent stated product description never buy refurbished product,2
arrived great condition malfunction however black maybe enough research thought black like navy blue ill get white next time,2
exterior almost scratchfree scratch edge lens lightning connector battery lowered rating refurbished good,1
happy problem charge,2
good product,3
bought working properly could use mobile communication shop check sim bad said sim fine problem  disappointing bought something cheap could return get refund better buy smart,1
worried secondhand saw low review arrived good condition bought thinking long screen clean fine mind scratch better condition expected battery previous i totally destroyed needed urgently enough packaging also careful also came power outlet charger guess service possible got lucky gacha buy risk,3
first time purchasing refurbished product little worried appearance beautiful battery higher expected satisfied shipment arrived one day early also good would like order opportunity,3
dirt around ,1
upon closer inspection found almost brand new came charger data cable battery capacity bit surprised,2
battery small scratch bottom side cannot see cover good condition happy love,3
condition product bad could return even though wanted,1
scratch screen body good condition also satisfied battery capacity read people review purchasing wonder model color tend relatively large battery life,3
always bought carrier first time bought one amazon little worried refurbished product impressed likenew condition box bit scratched device fine battery capacity good deal normal best purchase ever made amazon according research,3
looking review seemed like gadget wondering whether buy new one apple store amazon since daughter high school took gamble chose one cheaper new one arrived quickly battery i box charging cord unused almost new condition right buy daughter also happy upgrading x enough high school student,3
packaging carefully wrapped opened numerous small scratch screen seems probably shipping looking forward disappointing,1
bought simfree i ecosta however usage restriction softbank set ime situation usage restriction could imposed time inquired ime stated product page since sim lock removed problem selling simfree said could provide warranty turned away,1
ordered  facetime using  relies come face time disappointing,2
bought husband gift husband love xr work best like i issue accessory wire even screen protector includedoverall great product,2
purchased th mar received sold istyle authorized apple seller unit received genuine tra unit brand new sealed box thanks amazon istyle delivering excellent online shopping experience,3
liked much,3
per expectation,2
product good perfectbut packaging amazone box little big  moving jurking delivery timeit packing perfectly without moving mobilemayb damage incasei knw issue device day,2
received good packaging condition cannot say thing bad  working perfectly,3
good product,3
perfect buying ever,3
 perfect condition suited well delivery smooth  ideal,3
fast delivery without troublesgood price yearold product valuable colour combination protective case,2
good product delivered daythanks,3
great product got delivered well ahead time complaint far,3
 box still original seal protection fitted day left apple care impressed,2
received order i product re box open original seal cut,1
good product,2
bought  yesterday facing issue like getting heat speaking battery long lasting experienced camera quality good is,1
hi received item found warranty month possible month amazon team fba check apple get back soon possible,1
worth though,2
worth buy lovd pink color cames onlh charger wire without plug yoj neex tk buy separatly price realy expensive,3
stop giving bad review facetime sealed box device facetime facetime allowed inside uae government therefore work inside uae cannot find i outside uae country work confirm going i setting notification facetime present secondly i series device officialy come sealed box mean device used,3
منتج غير اصلي وانصح بعدم الشراء من خلاله,1
loved way data transferred old i new i without cloud back perfect keep loyalty i user upgrading,3
mention facetime digital dual sim card support facetime dual sim also expensive place like general shop noon like amazon bought amazon explain,2
come facetime depends country support facetime brand new never opened,3
quick delivery i good expected really great update processing speed photography feature,3
switch i x look amazing issue facetime available uae,3
color blue look good,3
delivery item good,3
advertised come io instead already io force update customer buy hardware hardware decide want apple,1
lovely product gift xmas new year,3
product good screen came black suddenly want one follow normal mobile new accident made please want one call follow urgently,1
bought item came fully used ib bad situation brought back turkey gift opened saw situation upset never ever buy ready use photo,1
satisfied product get facetime make region change general setting,3
مستخدم والضمان ناقص مده يوم,1
happy ,3
product look good super fast delivery facetimeplease write thing dodge customer overall rating get impacted use facetime bothering,1
 getting heated could understand reason behind,2
described facetime included,3
per specification,3
rest assured  much real deal good good quite interesting amazon requires provide code delivery associate take delivery product love security measure herein regard actual smart blue color way nice look great person battery life screen superb,3
package came little bit dirty crumpled otherwise good one,3
product finebut iam giving rivew delivery service wanted get product within hrand paid extra moneybut still amazon delivery late usualand refund extra delivery charge also facewithrollingeyes,1
منتج اصلى و التغليف جيد,3
like shape size rather heavy blue tint expected,2
perfect packing trusted uae version received,3
original sealed,3
good experience,3
live egypt got friend coming dubai  really great great battery life facetime like written case anyone want buy afraid review facetime available uae even i facetime live outside uae order open i country find facetime right,3
advertise face time notcould gone apple store bought known,2
original describedhowever noon little cheaper price,2
face time,2
would apple fones,2
i come facetime advertised manufacturing defect service,1
 facetime advertised please buy need facetime,1
every call regardless network connection go completely blank coupe minute frustrating caller side disconnect call use sim another android  issue,1
day bought volume button broke sometimes crashplz connect soon possible give one active reason,1
got option facetime,1
expected charger available,1
want usa version,3
valuable,3
expect ihowever still apple product overpriced,3
met expectation delivered even delivery date,3
caution time purchase original ireland  facetimefacetime start outside uae,3
original product exactly described even faster delivery,3
product ordered rd march wednesday amazon prime showed delivery th march thursday selection office location mean weekend saturday sunday holiday delivery team call till saturday noon pm say front office location inform back office monday deliver monday th march delivery guy come call multiple time pick come th march tuesday package said monday collect package open main polyethene package surprise i box package neatly cut using blade one side even open fishy never trust order something valuable amazon website market place provider market place provider better avoid online shop visit physical apple store room product amazon take require action vendor packaging vendor delivery employ,1
good product thank,3
good condition happy,3
sound quality good performance good transfer data old i happened fast software update completed immediately starting  problem charging cable different fit usb port one must adapter order one along i,2
best smart  based personal preference available market mean justifies hypealso got stealing price thank amazon foldedhands,3
excellent ,2
ph acha h hz k refresh rate bahut slow feel krata h camra quality thik h real h jaisa real face h vese pic aayegi baaki slow charging h isme bhi tym lgta h baaki sab theek h itna mhnge ph ye sab kamiya jarur khalengi,2
everything better i except cell reception way worse,2
like using big sized  go one day battery life average use camera good video excellent call reception excellent screen really smooth never used hz gaming smooth although recommend long heavy gaming would drain battery charging quick use wt apple power adapter would notice heat charging go back normal getting charged hand feel  really good base model feel premium like pro model type c really good addition creates functionality screen really bright visible even direct sunlight far best upgrade base model i year go,3
 overall beast specially term battery camera improved lot display also brighter compared old one little upgrade processor dynamic island add look cool give feel prothere nothing much difference hrtz considering price hrtz i much smoother android oneim using device day problem facing  heating specially updating new io worry happens update newer iosim using watt charger performing well  little warm feeling normal due fast chargingdont think much battery health spend lot tech use without anxiety highest capacity,3
using i switching good choice guess  better camera lens bigger megapixels also dynamic island make fun engaging gaming experience pretty smooth amazing i pro max chipset,3
goodbattery really goodperformance goodand generally okbadheating issue charging heat like anything eventually affect battery health long term big downside,2
really love quality snap every ry single snap  waawii,3
recommended obsessed apple product bought wife happy,3
heating issue even update,1
upgraded i year se massive upgradelots quality life change camera amazing trapped apple ecosystem pixel amazing aithe best thing new i know last year take care happy purchase cost k exchange card offer appleoh yellow like offwhite gold combination going look best colour,3
made titanium seems good rightnothe build quite worsti prefer i samsung also see build quality i youtube right checkmarkbutton,1
 i finger sensor,2
good display peak brightness good good visibility even broad day light clarity picture good excellent camera update portrait mode picture great resolution picture improved see detail dynamic island first time experience exiting see separated put notch hanging video playing around got see us long run usb c give u option use android charger needed great relief apple user extra careful packing p colour bought wife pink colour perfectnote review considering previous  i,3
like is new feature,2
ordered i today loved amazon service model number started battery capacity loved color,3
 good charging cable became faulty day hope replaced,2
good product,3
i hand assembled india like dream come true smilingface,3
usual good apple product,3
temperature  getting higher using mire mint heat expectation level good ,3
pleasure walk around camera also good,3
good camera,2
performance great battery good heating issue except charging common light weight previous is sound quality superb,3
good quality n performance feel premium thumbsup,3
battery draining hrsfor charging consumes min hr reach also amazon worst platform buy very worst response,1
like camera photo photographer know ki camera aur  kaisa hona chahiye mughe achcha lga,3
coming switzerland also hard buy right booked amazon daughter plus first international travel spain loved itcamera processor everything dynamic cheer,3
camera excellentcharger included,3
fell peer pressure grownup child,2
overall good product specially long lasting battery image video quality display quality clear,2
like value money,3
first i using experiencei better android draw back drain battery fast,3
average,3
camera quality,3
good battery good camera sound quality also good overall performance excellent,3
got good deal model variant goodthank amazon,3
recently acquired apple i stunning yellow color variant thoroughly impressed aesthetic performancethe bold yellow hue add vibrant touch device setting apart standard color option refreshing eyecatching choice want smart make statement sleek design coupled vibrant color elevates overall visual appeal i substantial gb storage variant ensures ample space apps photo video practical choice user require extensive storage capacity providing flexibility capture memory download apps store file without worry running spacethe i continues deliver apple hallmark performance aseries chip combined latest io feature guarantee smooth responsive user experience whether multitasking gaming capturing highquality photo video i handle effortlesslythe camera capability i impressive capturing vivid detailed shot advanced feature improvement lowlight photography make reliable companion capturing moment setting device offer comprehensive photography videography experience exceeds expectationsthe yellow variant particular add playful energetic vibe i making stylish accessory  fashion statement reflects personalityin conclusion apple i yellow gb storage perfect blend style substance whether prioritize ample storage powerful performance bold aesthetic variant delivers front making excellent choice want best apple offer,3
worst i ever seen hate  hate  lot buy  relievedface,1
designone noticeable change i new design  rounded edge make feel comfortable hand also new camera bump le pronounced one i displaythe i inch super retina xdr display i however new display brighter better contrast also support hdr dolby visionperformancethe i powered new bionic chip fastest mobile chip market bionic chip faster bionic chip i camerathe i new megapixel main camera new camera sensor larger one i better lowlight performance i also new megapixel ultrawide camera new megapixel telephoto camerabattery lifethe i battery life i mean expect get around day use single charge overall i solid upgrade i prosnew design rounded edgesmore powerful bionic chip found pronew megapixel main camerabrighter display upto nit brightnessusb c used anythingdynamic islandcons hz display macro photography,3
product deliver safely ok invoice warranty slip still cannot b downloaded amazon app plz tell got,3
gift th birthday would expect i course best class best capability thinking buying go best,3
good  handy make sense i x look similar refresh rate poor charged big theifs even competitor eager fetch money customer ready give worth money customer need slowly reject brand way last year using apple product worst sense much gradation i pro max even pathetic,2
need pro model feature required use purpose,3
good quality,3
beautiful,3
delivery satisfactorilyproduct good safe,2
i apple  wise  comparative market i,3
experiencing first time smilingfacewithheart-eyes smilingfacewithheart-eyes smilingfacewithheart-eyes everything amazing,3
love everything like color touch back side quality camera ultra fast process etc notas always apple rock,3
hi ordered new i received yesterday heating lot transferring file old ,2
beautiful redheart picture,3
upgrading i good one full day battery normal user without gaminguse apple adapter good battery lifecamera image naturalgood sound outputfor first week usage may feel heat heating issue far,3
facing heating issue taking photo video minute  got heated amazon providing doorstep technician product asking travel km afar apple service center check  get denying letteralso called tollfree number apple service informed face issue bought product site instead rd party moreover informed customer service issue day saying techincian available productand mentioned description well,1
finally shifted android fact x feeling though kept android case needed something slowly learning io far good happy purchase flaunt i,3
amazing cute,3
value moneybetter quality,3
delivered day indian version sbi promo work mentioned opted icici emi amazon pay card nothing say i plenty review,2
starting hesitating buy much costly  android user mostly used android  k able take decision buy purchased happy getting feeling like spend almost k  enjoying ui interface many i function feel purchase brand show actually big fan steve job like apple product overall experience  awesome getting regret feeling camera good battery backup also good user interface awesome,3
heating issue,2
go without doubt instead pro previous one camera really better one previous version willing give always display high refresh rate io optimised feel difference never used  high refresh rate macro lens one feel hand also amazing would know unless held one type c also gamechanger previous version,3
wonderful product good feature worth buy,2
poor quality except camera display worse oneplus pro reflection poor refresh rate apple stifle third party integration like huawei watch thus cannot use find  feature unless app open minimizedmail sync refresh eg android refresh notification mail deleted read source animation like blink giving poor interaction auto word correction bad turned always feature despite oled oled wuality black bad extreme reflection one good paid app file apple replaced disabled ftp cannot share photo bluetooth many crappy deliberate limitation disnt check otg feature sure restricted appleoverall decided go back oneplus loosing k short month data important i migrated apple bb android going back feel like going stone agefinally speaker quality bad really bad sync lower end sounding like cheap woofer setupcamera ok comparing pro really need quality anyway use fujifilm i compare tosuch terrible waste moneyps wireless charging joke temp reaching degree even wired charging reach controlled temp degree room temp oneolus pro barely touch despite much faster charging speed,1
excellent ,3
lagging issue issue used large  user,2
i switched i honesty feel difference feel like holding device dimension bit sleeker time major camera improvement island actually useful untill noticed option buy need consistency life love purchase still top camera compared smarts,2
good product like nice product top product india love product aaaa aaa aaa,3
first last mistake choosing  iyou cannot even record call may ban usa india day call record important many feature buy application mostly important task payable free android,1
working well one month usage heating issuesdynamic island make i even easier navigate apps,3
camera quality superb good buy budget friendly smooth charging awesome ease use,3
amazing camera quality obviously surpasses is battery life also pretty good compact handy type  performance wise definitely fast display best feature,3
quality bad  heating  heating even service centre giving solution asked u format  try also  till getting heated extent cannot used product defection,1
 charge amazon guy neither give replacement help service centre assistance home poor service amazon sub seller selling,1
without use kiye hi  heat hota rhta h battery b kb ud jari kuch pta ni chl ra itna gnda experience rhe ga  ka mein kbhi na leti disappoint angryface enragedface,1
 missing sugar packet inside,1
 heat lot using even basic task like scrolling website social medium battery drain also evident battery life similar year old used i say lot battery life hope apple fix else likely move samsung nothing next,2
poor front cam quality,1
worst quality  refresh rate goodfull heating chargingthis model mark better choose model like,1
hitting problem using mintes safe usingi,1
nice ,3
everythings ok,3
awesome  awesome feature specifically love photo video quality camerabattery back decent far used let u see many year battery last optimal performanceuser interface far better previous modelsvalue money,3
go guy month usage still feel,3
using two day found first android way better come selfies literally looking xiaomi pro drop ill jump i good come back camera unparalleled spectacular detail original color retention however selfie camera much worse catch blemish face make look uglier sound quality superb without doubt scrolling  bit slow compared  hz still bearable voice calling sound good clear usb c good thing least allowed charge different charger apple charger right away height i plus funny almost thing height bigger plus also paid k platform next day price dropped amazon end day i good android always win matter,2
could great  turned absolute mockery year old i still running well great value money sense used year instead previous  still serving well one get ai feature still cannot digest still latest i buy market sell flagship price come lesser feature competitor apple chose provide ai feature making absolutely unacceptable apparently apple cheaped ram provided gb whereas ai requires minimum gb ram reason even laptop tablet weaker npu i get ai would acceptable budgetflagship killer costing k price travestysecond battery i cycle still battery health one even using charge limit function cycle last noticeably le new show apple killing  purpose sell future model mighty apple made trouble free actually premium flagship nothing innovate resorting cheap tactic sell sreally disappointed,1
pro con model satisfied,3
dianamic island make  special i price island make u feel like probattery life also good use mobile hr single charge,3
working excellent,3
ordered i amazon month november worked fine month suddenly facing problem apps specifically swiggy downloaded saying  jailbroken device extremely disappointed service,1
trying transfer data android  i following instruction given complete giving trouble,1
facing liquid detection popup whenever charge brought  nov th working fine week later connect charger see popup liquid detected cannot charge mobile waited hr see error message visited icare center time still issue remains please support claim,1
androidsamsung flagship  background comparatively build quality good camera superb speed good security designed well far thing working fine simple feature available io little frustrating,1
advertised satisfied,1
defective i delivered,1
good product camera quality goodmust buy  centurygo love,2
paying lot money apple using apple get heat like road side brand mobile also charging mobile getting heat big apple aware prior buy already use share experience buy,1
worth screen refresh rate low expected atleast hz expensive deviceoverpriced price,2
first look prime quality nicely fit hand android user still face issue time operating india download required apps app store free cost apple store available india use two sim one physical micro sim esim conversion physical micro sim esim easy happen two hour home conversion sm service restricted hour per guideline trai issue connectivity good network strength desired operator crispy screen give strain eye battery life awesome one day heavy user day light user smooth performance io system lag glitch single problem get use sound also big crystal clear value high side though good aspect many people may find difficult purchase,3
running smoothlyno problem allcamera good battery life also good manage one day chargingalso charge type c chargingworth  range,3
many follow ups finally received product product good,2
made transition pov first month usepros battery life awesome easily get day plus compliants screen fluidity smooooooth understandable transitioning oled lcd xr panel get solid peak brightness quotient happy screen brightness good compared xr nit hardly go beyond brightness save juice whilst outside crank spotless dynamic island fun yet use fullest like way show eta delivery uber simple solution instead get app check eta weight  soo bloody light understandable xr brick soo welcome camera awesome love mp intervention portrait mode cinematic mode job apple eco system enjoy seamless integration watch mac ipad air i apple approach security transferring data xr using built app flawlesscons  heating solution apple back  erase reset  including esim setting done set  back work like charm still believe apple thrown charging brick purchasesindustry meme usb c honestly give jack review mode charging going transferring data yea speed yadadada thank much blue blue white think people whining go back ludicrous blue android pestle shade people buying apple product show mean even serious buy product comment buy one hz refresh rate k  save joke people many u appreciate quality security screen refreshes non gamers like panel apt seen ton folk buying hz  using make call watch video textingtips managing battery health switch background app refresh apps need back ground refresh avoid wireless charging heat devise charge  using power bank direct wired wireless charging let battery go keep always switch location service allow certain app need location service switch charging optimisation battery section use vibrate mode ringsincoming call etc xr year use battery health guess know recommending abovevendor experience appario retail private limited regular customer never disappointed even purchase experience breezy quick thanks team support look forward collaboration future watch space keep updating case significant change experience,3
